,MAE,STD_MAE,RMSE,STD_RMSE,AUC,STD_AUC,CM
0,0.9485,0.0,1.3436,0.0,0.7375,0.0,"[[87 39 23 15 11]
 [62 49 27 23 13]
 [30 39 46 34 26]
 [ 8 17 46 47 56]
 [ 8  5 18 52 92]]"
1,0.9084,0.0,1.2892,0.0,0.7738,0.0,"[[ 77  53  23  13   9]
 [ 54  56  28  22  14]
 [ 33  46  33  42  20]
 [ 10  25  27  50  63]
 [  3   5   8  44 115]]"
2,0.9038,0.0,1.2919,0.0,0.7648,0.0,"[[73 55 29  9  8]
 [61 43 38 26  7]
 [26 23 47 49 29]
 [ 6 14 28 74 53]
 [ 9 10 12 46 98]]"
3,0.9003,0.0,1.295,0.0,0.7494,0.0,"[[80 55 16 11 12]
 [48 60 32 28  7]
 [30 40 49 31 25]
 [ 9 19 38 63 46]
 [ 3 10 20 49 92]]"
4,0.9233,0.0,1.3273,0.0,0.7588,0.0,"[[87 47 20 11 10]
 [44 63 33 28  7]
 [37 37 41 36 24]
 [ 8 19 26 62 59]
 [ 8 11 19 47 89]]"
5,0.9169,0.0197,1.3094,0.0246,0.7569,0.014,--
6,"[0.8983, 0.9354]",0.0072,"[1.2864, 1.3324]",0.009,"[0.7437, 0.77]",0.0051,--
