,MAE,STD_MAE,RMSE,STD_RMSE,AUC,STD_AUC,CM
0,0.9643,0.0,1.3628,0.0,0.7244,0.0,"[[108  58  42  18  15]
 [ 71  73  51  27  19]
 [ 43  46  53  57  42]
 [ 19  30  56  72  64]
 [  6  12  24  55 144]]"
1,0.9676,0.0,1.3767,0.0,0.7203,0.0,"[[107  59  37  23  15]
 [ 61  82  43  32  23]
 [ 36  57  54  58  36]
 [ 20  32  54  71  64]
 [  9   7  23  63 139]]"
2,0.9743,0.0,1.3858,0.0,0.7476,0.0,"[[103  57  41  20  20]
 [ 70  74  45  25  27]
 [ 50  58  55  47  31]
 [ 20  28  45  58  90]
 [  3  11  23  40 164]]"
3,0.9635,0.0,1.3783,0.0,0.7237,0.0,"[[107  64  34  15  21]
 [ 81  75  44  23  18]
 [ 41  50  69  46  35]
 [ 18  31  56  71  65]
 [  7  15  34  49 136]]"
4,0.9909,0.0,1.3971,0.0,0.7327,0.0,"[[108  60  33  27  13]
 [ 68  55  57  39  22]
 [ 36  50  60  63  32]
 [ 21  23  40  70  87]
 [ 15   5  23  60 138]]"
5,0.9721,0.0113,1.3801,0.0126,0.7297,0.011,--
6,"[0.9615, 0.9828]",0.0041,"[1.3683, 1.392]",0.0046,"[0.7194, 0.74]",0.004,--
