,MAE,STD_MAE,RMSE,STD_RMSE,AUC,STD_AUC,CM
0,0.983,0.0,1.4112,0.0,0.7174,0.0,"[[ 96  48  29  19  20]
 [ 70  70  30  29  12]
 [ 28  44  63  45  31]
 [ 11  23  55  57  66]
 [ 13  18  15  59 106]]"
1,0.9972,0.0,1.4156,0.0,0.7111,0.0,"[[104  47  23  19  18]
 [ 76  62  41  20  13]
 [ 46  38  48  49  30]
 [ 14  30  53  55  60]
 [ 11  17  20  47 116]]"
2,1.0066,0.0,1.4361,0.0,0.715,0.0,"[[ 98  48  28  14  23]
 [ 65  54  46  23  24]
 [ 37  51  45  60  18]
 [ 19  28  42  67  55]
 [  9  13  22  47 121]]"
3,0.964,0.0,1.4018,0.0,0.7245,0.0,"[[ 98  53  26  17  17]
 [ 62  70  42  19  18]
 [ 30  55  57  38  32]
 [ 15  30  46  62  58]
 [ 12  16  20  37 127]]"
4,0.9281,0.0,1.3361,0.0,0.7432,0.0,"[[ 86  60  40   8  18]
 [ 51  66  55  24  15]
 [ 26  53  54  50  29]
 [  9  29  42  66  65]
 [ 10   5  26  34 136]]"
5,0.9758,0.0311,1.4002,0.0379,0.7222,0.0127,--
6,"[0.9466, 1.005]",0.0114,"[1.3645, 1.4358]",0.0139,"[0.7103, 0.7342]",0.0046,--
