,MAE,STD_MAE,RMSE,STD_RMSE,AUC,STD_AUC,CM
0,0.9688,0.0,1.3976,0.0,0.7393,0.0,"[[101  74  29  19  20]
 [ 68  84  49  26  17]
 [ 48  47  62  53  34]
 [ 20  32  45  83  63]
 [ 16   9  19  65 134]]"
1,0.9581,0.0,1.3663,0.0,0.7243,0.0,"[[115  65  38  14  12]
 [ 76  77  35  30  26]
 [ 37  47  62  57  40]
 [ 13  34  51  73  72]
 [ 14  11  26  57 135]]"
2,0.9211,0.0,1.3362,0.0,0.746,0.0,"[[108  68  34  14  20]
 [ 76  77  45  30  15]
 [ 41  44  67  57  34]
 [ 15  34  40  90  65]
 [  6  13  26  53 145]]"
3,0.917,0.0,1.3217,0.0,0.7475,0.0,"[[107  69  34  17  16]
 [ 73  72  47  37  14]
 [ 41  42  67  58  35]
 [ 16  25  46  79  78]
 [  7  10  24  48 155]]"
4,0.9523,0.0,1.3654,0.0,0.7313,0.0,"[[104  64  42  17  16]
 [ 76  64  48  29  26]
 [ 35  38  66  61  44]
 [ 11  27  52  78  75]
 [ 11  11  21  46 155]]"
5,0.9435,0.0231,1.3574,0.0295,0.7377,0.0098,--
6,"[0.9218, 0.9651]",0.0084,"[1.3297, 1.3851]",0.0108,"[0.7284, 0.7469]",0.0036,--
