,MAE,STD_MAE,RMSE,STD_RMSE,AUC,STD_AUC,CM
0,0.9885,0.0,1.4219,0.0,0.7333,0.0,"[[77 40 27 16 13]
 [55 58 31 17 12]
 [35 33 47 34 25]
 [14 22 28 62 47]
 [11 10 22 41 90]]"
1,0.9942,0.0,1.415,0.0,0.7319,0.0,"[[ 80  44  23  11  15]
 [ 63  48  23  19  21]
 [ 29  36  33  45  30]
 [ 16  17  27  54  59]
 [  9   4  19  39 103]]"
2,0.9319,0.0,1.3448,0.0,0.7413,0.0,"[[ 80  47  26   8  13]
 [ 49  62  23  24  16]
 [ 31  33  39  42  28]
 [  9  18  33  57  56]
 [  6   7  19  37 104]]"
3,0.9931,0.0,1.4105,0.0,0.7434,0.0,"[[86 43 24  9 12]
 [55 48 30 22 18]
 [42 32 40 29 30]
 [15 16 31 55 57]
 [ 8 12 16 42 95]]"
4,0.9931,0.0,1.4056,0.0,0.764,0.0,"[[ 77  41  22  11  22]
 [ 72  38  29  18  16]
 [ 33  30  42  42  27]
 [ 11  18  20  50  75]
 [  4   9  11  49 100]]"
5,0.9802,0.0271,1.3996,0.0312,0.7428,0.0129,--
6,"[0.9548, 1.0056]",0.0099,"[1.3703, 1.4288]",0.0114,"[0.7307, 0.7548]",0.0047,--
