,MAE,STD_MAE,RMSE,STD_RMSE,AUC,STD_AUC,CM
0,0.8981,0.0,1.2767,0.0,0.7606,0.0,"[[140  75  42  22  10]
 [ 78  85  82  26  18]
 [ 51  65  87  42  43]
 [ 17  36  72  78  85]
 [  5  15  24  77 168]]"
1,0.887,0.0,1.2729,0.0,0.7645,0.0,"[[136  72  51  15  15]
 [ 80  82  74  41  11]
 [ 45  64  81  62  36]
 [ 19  26  57 101  86]
 [  7  10  33  68 171]]"
2,0.9071,0.0,1.3049,0.0,0.7551,0.0,"[[139  74  44  13  19]
 [ 74  93  70  37  14]
 [ 44  77  91  49  28]
 [ 14  50  60  77  88]
 [ 10  16  26  72 164]]"
3,0.8725,0.0,1.2567,0.0,0.7903,0.0,"[[140  67  50  21  10]
 [ 93  97  64  24  11]
 [ 51  68  89  50  31]
 [ 17  32  51  79 110]
 [  9  13  22  74 170]]"
4,0.885,0.0,1.2661,0.0,0.7612,0.0,"[[143  79  44  14   8]
 [ 85  92  55  38  19]
 [ 42  71  83  57  36]
 [ 27  31  54  95  81]
 [  6  10  33  81 159]]"
5,0.8899,0.0132,1.2755,0.0181,0.7663,0.0138,--
6,"[0.8775, 0.9023]",0.0048,"[1.2584, 1.2925]",0.0066,"[0.7534, 0.7793]",0.005,--
