,MAE,STD_MAE,RMSE,STD_RMSE,AUC,STD_AUC,CM
0,0.9536,0.0,1.3721,0.0,0.7327,0.0,"[[ 949  545  253  168  144]
 [ 591  641  406  269  150]
 [ 360  409  552  454  283]
 [ 161  256  427  627  589]
 [ 100   90  189  491 1189]]"
1,0.9494,0.0,1.3716,0.0,0.7356,0.0,"[[ 986  515  262  161  136]
 [ 593  639  392  256  179]
 [ 327  466  512  481  272]
 [ 187  216  395  655  606]
 [  95  101  193  464 1204]]"
2,0.9539,0.0,1.3768,0.0,0.7433,0.0,"[[ 920  546  266  164  162]
 [ 615  632  415  243  154]
 [ 372  437  543  442  266]
 [ 167  239  377  661  615]
 [  86  113  178  457 1223]]"
3,0.9422,0.0,1.3634,0.0,0.7409,0.0,"[[ 962  515  272  162  146]
 [ 621  625  412  260  141]
 [ 365  437  576  443  239]
 [ 134  229  417  690  588]
 [ 100  120  206  468 1165]]"
4,0.9506,0.0,1.3767,0.0,0.7423,0.0,"[[ 966  513  274  148  158]
 [ 594  616  403  278  168]
 [ 343  443  521  476  274]
 [ 168  211  370  657  651]
 [ 104   95  173  444 1245]]"
5,0.9499,0.0047,1.3721,0.0055,0.739,0.0046,--
6,"[0.9455, 0.9544]",0.0017,"[1.367, 1.3772]",0.002,"[0.7347, 0.7433]",0.0017,--
