,MAE,STD_MAE,RMSE,STD_RMSE,AUC,STD_AUC,CM
0,1.0196,0.0,1.4723,0.0,0.724,0.0,"[[1037  369  248  164  241]
 [ 712  473  396  245  231]
 [ 422  313  488  419  416]
 [ 188  199  387  532  754]
 [ 133   82  140  314 1390]]"
1,1.0183,0.0,1.4727,0.0,0.728,0.0,"[[1109  315  254  141  241]
 [ 694  448  420  241  256]
 [ 406  348  445  460  399]
 [ 203  154  365  517  820]
 [ 153   49  157  314 1384]]"
2,1.0156,0.0,1.4715,0.0,0.7379,0.0,"[[1012  367  278  151  250]
 [ 673  533  360  237  256]
 [ 432  353  499  391  385]
 [ 201  187  330  513  828]
 [ 123   66  138  324 1406]]"
3,1.0117,0.0,1.4643,0.0,0.7384,0.0,"[[1068  344  261  146  238]
 [ 700  481  392  251  235]
 [ 461  328  512  394  365]
 [ 181  184  338  536  819]
 [ 135   76  154  340 1354]]"
4,1.0094,0.0,1.4649,0.0,0.7355,0.0,"[[1062  339  278  131  249]
 [ 663  467  392  267  270]
 [ 385  332  487  445  408]
 [ 191  156  338  520  852]
 [ 138   41  134  326 1422]]"
5,1.0149,0.0043,1.4691,0.0042,0.7328,0.0064,--
6,"[1.0109, 1.019]",0.0016,"[1.4652, 1.4731]",0.0015,"[0.7267, 0.7388]",0.0023,--
