,MAE,STD_MAE,RMSE,STD_RMSE,AUC,STD_AUC,CM
0,0.9622,0.0,1.3671,0.0,0.7276,0.0,"[[ 839  593  354  155  118]
 [ 546  636  480  256  139]
 [ 321  423  634  436  244]
 [ 158  264  488  633  517]
 [ 104  104  227  533 1091]]"
1,0.9622,0.0,1.3722,0.0,0.7254,0.0,"[[ 904  553  308  168  127]
 [ 534  613  462  288  162]
 [ 305  444  603  464  242]
 [ 152  242  447  666  552]
 [  92  116  245  518 1086]]"
2,0.9609,0.0,1.374,0.0,0.7376,0.0,"[[ 868  550  313  184  143]
 [ 543  654  465  262  135]
 [ 342  466  556  441  255]
 [ 148  241  412  670  588]
 [  85  130  198  501 1143]]"
3,0.9688,0.0,1.3806,0.0,0.7305,0.0,"[[ 885  526  327  177  142]
 [ 586  635  450  276  112]
 [ 353  468  554  449  236]
 [ 138  245  447  669  559]
 [  99  149  213  495 1103]]"
4,0.9518,0.0,1.3698,0.0,0.7381,0.0,"[[ 903  557  311  159  129]
 [ 546  643  429  278  163]
 [ 324  446  580  466  241]
 [ 157  243  384  695  578]
 [ 103  110  202  498 1148]]"
5,0.9612,0.0061,1.3727,0.0051,0.7318,0.0058,--
6,"[0.9555, 0.9669]",0.0022,"[1.368, 1.3775]",0.0019,"[0.7264, 0.7373]",0.0021,--
