,MAE,STD_MAE,RMSE,STD_RMSE,AUC,STD_AUC,CM
0,1.0431,0.0,1.5045,0.0,0.726,0.0,"[[1061  302  233  154  309]
 [ 726  398  380  245  308]
 [ 431  278  423  441  485]
 [ 182  166  337  510  865]
 [ 107   61  109  291 1491]]"
1,1.0429,0.0,1.5106,0.0,0.7276,0.0,"[[1106  269  207  169  309]
 [ 722  386  360  263  328]
 [ 421  273  409  474  481]
 [ 188  130  300  521  920]
 [ 121   42  113  286 1495]]"
2,1.0487,0.0,1.5194,0.0,0.7319,0.0,"[[1027  325  220  147  339]
 [ 671  476  319  241  352]
 [ 424  318  418  403  497]
 [ 170  174  287  489  939]
 [ 102   60   95  279 1521]]"
3,1.0318,0.0,1.4903,0.0,0.7376,0.0,"[[1056  323  246  138  294]
 [ 706  440  364  249  300]
 [ 441  317  427  423  452]
 [ 169  163  302  500  924]
 [ 112   68  109  292 1478]]"
4,1.049,0.0,1.5179,0.0,0.729,0.0,"[[1071  279  245  142  322]
 [ 683  401  357  277  341]
 [ 402  279  432  448  496]
 [ 186  124  301  495  951]
 [ 128   33  109  287 1504]]"
5,1.0431,0.007,1.5085,0.0118,0.7304,0.0046,--
6,"[1.0366, 1.0496]",0.0025,"[1.4974, 1.5196]",0.0043,"[0.7261, 0.7347]",0.0017,--
