,MAE,STD_MAE,RMSE,STD_RMSE,AUC,STD_AUC,CM
0,0.9659,0.0,1.3955,0.0,0.7346,0.0,"[[ 994  489  233  175  168]
 [ 641  618  374  257  167]
 [ 367  420  512  463  296]
 [ 176  222  394  662  606]
 [ 112   89  175  514 1169]]"
1,0.9833,0.0,1.4078,0.0,0.7298,0.0,"[[1002  477  242  174  165]
 [ 656  576  356  274  197]
 [ 386  431  446  500  295]
 [ 175  232  366  653  633]
 [ 104   90  188  484 1191]]"
2,0.9671,0.0,1.3941,0.0,0.7412,0.0,"[[ 978  485  246  179  170]
 [ 654  611  378  250  166]
 [ 392  431  497  445  295]
 [ 172  219  364  655  649]
 [  94  105  174  474 1210]]"
3,0.9662,0.0,1.3919,0.0,0.7423,0.0,"[[ 979  483  263  170  162]
 [ 673  611  334  282  159]
 [ 416  422  526  429  267]
 [ 169  214  372  674  629]
 [  92  121  175  496 1175]]"
4,0.976,0.0,1.411,0.0,0.7354,0.0,"[[ 994  469  261  160  175]
 [ 617  591  362  281  208]
 [ 374  422  482  466  313]
 [ 172  220  342  671  652]
 [ 113   82  181  438 1247]]"
5,0.9717,0.0077,1.4001,0.0087,0.7367,0.0051,--
6,"[0.9645, 0.9789]",0.0028,"[1.3919, 1.4082]",0.0032,"[0.7318, 0.7415]",0.0019,--
