,MAE,STD_MAE,RMSE,STD_RMSE,AUC,STD_AUC,CM
0,0.7644,0.0,1.1595,0.0,0.7749,0.0,"[[1161  611  191   61   35]
 [ 497  928  466  111   55]
 [ 281  607  791  266  113]
 [ 109  277  619  612  443]
 [  75  165  182  439 1198]]"
1,0.7837,0.0,1.1853,0.0,0.7714,0.0,"[[1150  599  200   69   42]
 [ 528  910  451  111   59]
 [ 291  617  722  306  122]
 [ 106  295  558  662  438]
 [  86  172  192  418 1189]]"
2,0.7666,0.0,1.163,0.0,0.7754,0.0,"[[1194  557  191   70   46]
 [ 541  925  445  113   35]
 [ 250  657  731  311  111]
 [ 112  307  554  682  404]
 [  74  164  181  493 1145]]"
3,0.7771,0.0,1.1685,0.0,0.7711,0.0,"[[1135  623  201   67   31]
 [ 532  885  450  129   63]
 [ 276  618  781  270  115]
 [  86  295  585  650  442]
 [  75  167  227  420 1170]]"
4,0.7584,0.0,1.15,0.0,0.7827,0.0,"[[1109  675  167   64   44]
 [ 508  901  462  124   64]
 [ 238  656  761  300  102]
 [  86  316  532  722  401]
 [  68  160  162  484 1187]]"
5,0.77,0.0102,1.1653,0.0131,0.7751,0.0047,--
6,"[0.7605, 0.7796]",0.0037,"[1.153, 1.1775]",0.0048,"[0.7707, 0.7795]",0.0017,--
