,MAE,STD_MAE,RMSE,STD_RMSE,AUC,STD_AUC,CM
0,1.383,0.0,1.8383,0.0,0.5949,0.0,"[[ 376  501  522  121  539]
 [ 305  587  570  140  455]
 [ 253  553  647  133  472]
 [ 227  469  540  164  660]
 [ 268  288  304  152 1047]]"
1,1.3915,0.0,1.8426,0.0,0.5911,0.0,"[[ 336  438  563  152  571]
 [ 300  533  593  188  445]
 [ 245  483  665  185  480]
 [ 233  431  539  201  655]
 [ 226  271  319  187 1054]]"
2,1.3897,0.0,1.8394,0.0,0.5934,0.0,"[[ 363  490  575   86  544]
 [ 314  560  624  111  450]
 [ 256  515  683  115  491]
 [ 257  456  545  122  679]
 [ 247  301  344  110 1055]]"
3,1.3934,0.0,1.8476,0.0,0.5898,0.0,"[[ 405  462  523  109  558]
 [ 354  525  619  107  454]
 [ 298  491  701  119  451]
 [ 261  450  558  142  647]
 [ 266  254  390  124 1025]]"
4,1.3951,0.0,1.8549,0.0,0.599,0.0,"[[ 389  384  569  120  597]
 [ 337  471  668  100  483]
 [ 264  450  712  137  494]
 [ 269  402  524  131  731]
 [ 252  210  358  113 1128]]"
5,1.3905,0.0047,1.8446,0.0068,0.5936,0.0036,--
6,"[1.3862, 1.3949]",0.0017,"[1.8382, 1.851]",0.0025,"[0.5903, 0.597]",0.0013,--
