,MAE,STD_MAE,RMSE,STD_RMSE,AUC,STD_AUC,CM
0,1.5284,0.0,2.0205,0.0,0.6126,0.0,"[[  33  821   14    0 1191]
 [  28  877   12    0 1140]
 [  19  713    6    1 1319]
 [  10  513    8    3 1526]
 [   7  212    6    3 1831]]"
1,1.5273,0.0,2.0177,0.0,0.6162,0.0,"[[  42  840   12    0 1166]
 [  15  850    8    6 1180]
 [  20  720   13    2 1303]
 [  10  484    2    4 1559]
 [   8  217    2    3 1827]]"
2,1.5229,0.0,2.0147,0.0,0.617,0.0,"[[  23  843    9    4 1179]
 [  23  869    8    3 1156]
 [  15  759   13    1 1272]
 [  13  502    8    2 1534]
 [   4  209    8    3 1833]]"
3,1.5244,0.0,2.0118,0.0,0.6194,0.0,"[[  27  869    8    3 1150]
 [  25  850    7    2 1175]
 [  31  767    8    4 1250]
 [   8  483    6    6 1555]
 [   8  232    8    8 1803]]"
4,1.5207,0.0,2.0123,0.0,0.6209,0.0,"[[  29  849   10    0 1171]
 [  19  857   12    1 1170]
 [  18  753    8    0 1278]
 [   9  466   11    1 1570]
 [   7  210    5    4 1835]]"
5,1.5247,0.0032,2.0154,0.0037,0.6172,0.0032,--
6,"[1.5218, 1.5277]",0.0012,"[2.0119, 2.0189]",0.0013,"[0.6142, 0.6202]",0.0012,--
