,MAE,STD_MAE,RMSE,STD_RMSE,AUC,STD_AUC,CM
0,1.447,0.0,1.9079,0.0,0.5912,0.0,"[[ 368  605  441    7  638]
 [ 327  704  482    8  536]
 [ 316  683  499    7  553]
 [ 287  589  417    6  761]
 [ 275  389  244    1 1150]]"
1,1.4591,0.0,1.9114,0.0,0.5849,0.0,"[[ 378  463  597    3  619]
 [ 347  485  700    6  521]
 [ 326  505  650    4  573]
 [ 324  440  556    4  735]
 [ 326  258  363    1 1109]]"
2,1.4798,0.0,1.951,0.0,0.5923,0.0,"[[ 446  550  395    4  663]
 [ 392  668  411   12  576]
 [ 382  595  457    6  620]
 [ 349  511  353    5  841]
 [ 359  302  229    5 1162]]"
3,1.4283,0.0,1.8782,0.0,0.5913,0.0,"[[ 327  629  495   10  596]
 [ 285  690  553    8  523]
 [ 266  681  551    6  556]
 [ 245  611  443    9  750]
 [ 237  420  277    2 1123]]"
4,1.4493,0.0,1.9153,0.0,0.5945,0.0,"[[ 422  544  431    4  658]
 [ 360  659  513    8  519]
 [ 344  617  498   14  584]
 [ 321  520  409   12  795]
 [ 297  335  266    3 1160]]"
5,1.4527,0.0188,1.9128,0.0259,0.5908,0.0036,--
6,"[1.435, 1.4704]",0.0069,"[1.8884, 1.9371]",0.0095,"[0.5875, 0.5942]",0.0013,--
