,MAE,STD_MAE,RMSE,STD_RMSE,AUC,STD_AUC,CM
0,1.0947,0.0,1.5395,0.0,0.6877,0.0,"[[ 842  520  291  180  226]
 [ 580  581  442  257  197]
 [ 391  456  536  405  270]
 [ 260  314  419  528  539]
 [ 177  166  213  414 1089]]"
1,1.0836,0.0,1.5327,0.0,0.6871,0.0,"[[ 859  475  327  199  200]
 [ 547  633  424  248  207]
 [ 366  482  535  419  256]
 [ 259  319  406  540  535]
 [ 175  177  221  365 1119]]"
2,1.0825,0.0,1.5275,0.0,0.6943,0.0,"[[ 812  530  304  209  203]
 [ 535  643  425  271  185]
 [ 397  460  530  397  276]
 [ 232  308  387  541  591]
 [ 172  181  210  364 1130]]"
3,1.0823,0.0,1.5339,0.0,0.6926,0.0,"[[ 877  489  305  179  207]
 [ 576  633  420  234  196]
 [ 385  476  533  387  279]
 [ 236  321  405  553  543]
 [ 197  187  197  392 1086]]"
4,1.0868,0.0,1.5379,0.0,0.6968,0.0,"[[ 831  501  314  203  210]
 [ 554  602  424  255  224]
 [ 358  481  513  433  272]
 [ 256  281  362  535  623]
 [ 187  161  185  358 1170]]"
5,1.086,0.0052,1.5343,0.0047,0.6917,0.0042,--
6,"[1.0811, 1.0909]",0.0019,"[1.5299, 1.5387]",0.0017,"[0.6878, 0.6956]",0.0015,--
