,MAE,STD_MAE,RMSE,STD_RMSE,AUC,STD_AUC,CM
0,0.9508,0.0,1.3786,0.0,0.7354,0.0,"[[ 935  544  256  175  149]
 [ 594  680  364  266  153]
 [ 358  411  562  437  290]
 [ 165  250  418  663  564]
 [ 113   82  171  500 1193]]"
1,0.9511,0.0,1.3771,0.0,0.7337,0.0,"[[1000  492  261  171  136]
 [ 595  646  390  250  178]
 [ 331  454  523  473  277]
 [ 171  238  381  659  610]
 [ 103  102  208  443 1201]]"
2,0.9506,0.0,1.3759,0.0,0.7419,0.0,"[[ 928  538  263  170  159]
 [ 598  642  420  253  146]
 [ 359  446  540  445  270]
 [ 165  238  374  679  603]
 [  90  117  179  447 1224]]"
3,0.9546,0.0,1.377,0.0,0.7423,0.0,"[[ 968  497  282  157  153]
 [ 641  624  406  255  133]
 [ 389  428  561  423  259]
 [ 146  231  396  676  609]
 [ 110  112  207  484 1146]]"
4,0.9602,0.0,1.3905,0.0,0.7393,0.0,"[[ 948  532  257  154  168]
 [ 583  611  399  279  187]
 [ 343  437  526  470  281]
 [ 166  206  371  677  637]
 [ 112   88  178  461 1222]]"
5,0.9535,0.0041,1.3798,0.006,0.7385,0.0038,--
6,"[0.9496, 0.9573]",0.0015,"[1.3741, 1.3855]",0.0022,"[0.7349, 0.7421]",0.0014,--
