,MAE,STD_MAE,RMSE,STD_RMSE,AUC,STD_AUC,CM
0,1.2903,0.0,1.7646,0.0,0.6297,0.0,"[[ 728  402  311  183  435]
 [ 588  465  441  240  323]
 [ 449  373  563  301  372]
 [ 292  334  448  377  609]
 [ 304  207  229  278 1041]]"
1,1.2612,0.0,1.733,0.0,0.6382,0.0,"[[ 739  401  332  185  403]
 [ 543  500  448  246  322]
 [ 435  397  527  348  351]
 [ 343  313  419  384  600]
 [ 261  174  232  280 1110]]"
2,1.2679,0.0,1.7326,0.0,0.6345,0.0,"[[ 739  383  353  222  361]
 [ 572  499  435  251  302]
 [ 406  435  522  336  361]
 [ 332  295  432  387  613]
 [ 276  208  244  284 1045]]"
3,1.2806,0.0,1.7471,0.0,0.6299,0.0,"[[741 428 341 156 391]
 [583 485 457 237 297]
 [420 435 535 294 376]
 [291 330 470 369 598]
 [330 199 260 275 995]]"
4,1.2776,0.0,1.7537,0.0,0.6374,0.0,"[[ 724  381  334  207  413]
 [ 561  488  460  216  334]
 [ 418  411  526  374  328]
 [ 344  297  386  409  621]
 [ 297  165  249  282 1068]]"
5,1.2755,0.0113,1.7462,0.0137,0.6339,0.004,--
6,"[1.2649, 1.2861]",0.0041,"[1.7333, 1.7591]",0.005,"[0.6302, 0.6377]",0.0015,--
