,MAE,STD_MAE,RMSE,STD_RMSE,AUC,STD_AUC,CM
0,0.9883,0.0,1.4081,0.0,0.7286,0.0,"[[ 898  528  290  187  156]
 [ 572  646  412  257  170]
 [ 369  437  494  437  321]
 [ 175  256  412  604  613]
 [ 106   95  172  503 1183]]"
1,0.9884,0.0,1.4152,0.0,0.7269,0.0,"[[ 944  494  261  184  177]
 [ 617  573  402  276  191]
 [ 361  429  498  461  309]
 [ 174  228  389  661  607]
 [  99   95  198  473 1192]]"
2,0.9925,0.0,1.4179,0.0,0.7316,0.0,"[[ 899  515  282  188  174]
 [ 588  623  425  254  169]
 [ 386  438  502  431  303]
 [ 167  252  374  612  654]
 [ 104  111  189  442 1211]]"
3,0.9843,0.0,1.4053,0.0,0.7356,0.0,"[[ 910  496  308  179  164]
 [ 632  624  383  260  160]
 [ 382  448  520  429  281]
 [ 161  243  360  665  629]
 [  95  117  219  481 1147]]"
4,0.9912,0.0,1.4142,0.0,0.7298,0.0,"[[ 932  502  274  185  166]
 [ 558  612  396  293  200]
 [ 355  452  456  458  336]
 [ 176  221  364  609  687]
 [  92  101  179  451 1238]]"
5,0.9889,0.0032,1.4121,0.0052,0.7305,0.0033,--
6,"[0.986, 0.9919]",0.0012,"[1.4072, 1.4171]",0.0019,"[0.7274, 0.7336]",0.0012,--
