,MAE,STD_MAE,RMSE,STD_RMSE,AUC,STD_AUC,CM
0,0.9813,0.0,1.4144,0.0,0.7259,0.0,"[[ 954  483  276  167  179]
 [ 598  630  386  268  175]
 [ 384  397  540  438  299]
 [ 153  252  415  646  594]
 [ 117  101  202  456 1183]]"
1,0.9838,0.0,1.4152,0.0,0.7247,0.0,"[[ 941  507  261  174  177]
 [ 591  626  380  269  193]
 [ 338  450  537  435  298]
 [ 180  241  400  635  603]
 [  95  122  198  455 1187]]"
2,0.978,0.0,1.4134,0.0,0.7351,0.0,"[[ 911  527  248  175  197]
 [ 608  637  388  250  176]
 [ 374  428  539  436  283]
 [ 167  235  365  659  633]
 [  91  132  180  440 1214]]"
3,0.9795,0.0,1.4113,0.0,0.7278,0.0,"[[ 948  492  274  160  183]
 [ 631  620  396  255  157]
 [ 362  454  553  432  259]
 [ 146  229  429  652  602]
 [ 128  115  230  450 1136]]"
4,0.9754,0.0,1.4106,0.0,0.733,0.0,"[[ 941  504  276  161  177]
 [ 565  624  390  262  218]
 [ 330  427  542  476  282]
 [ 190  226  344  643  654]
 [  99   96  193  443 1230]]"
5,0.9796,0.0032,1.413,0.002,0.7293,0.0045,--
6,"[0.9766, 0.9826]",0.0012,"[1.4111, 1.4148]",0.0007,"[0.725, 0.7336]",0.0017,--
