,MAE,STD_MAE,RMSE,STD_RMSE,AUC,STD_AUC,CM
0,1.1217,0.0,1.5774,0.0,0.6909,0.0,"[[ 907  375  228  250  299]
 [ 664  480  276  373  264]
 [ 426  319  378  504  431]
 [ 216  197  308  602  737]
 [ 175   54  181  443 1206]]"
1,1.1255,0.0,1.5788,0.0,0.6919,0.0,"[[ 931  350  229  276  274]
 [ 694  434  257  365  309]
 [ 435  312  382  536  393]
 [ 203  181  310  613  752]
 [ 175   71  162  471 1178]]"
2,1.0951,0.0,1.5482,0.0,0.6974,0.0,"[[ 916  371  244  271  256]
 [ 620  495  309  379  256]
 [ 428  321  397  524  390]
 [ 219  180  308  651  701]
 [ 154   67  180  437 1219]]"
3,1.0973,0.0,1.5445,0.0,0.7001,0.0,"[[ 915  363  279  223  277]
 [ 665  474  337  299  284]
 [ 425  335  432  462  406]
 [ 183  179  359  600  737]
 [ 137   88  223  425 1186]]"
4,1.1165,0.0,1.5776,0.0,0.6964,0.0,"[[ 958  353  220  228  300]
 [ 666  434  296  348  315]
 [ 428  308  398  487  436]
 [ 220  161  316  615  745]
 [ 169   71  154  449 1218]]"
5,1.1112,0.0141,1.5653,0.0174,0.6953,0.0039,--
6,"[1.098, 1.1245]",0.0051,"[1.549, 1.5816]",0.0063,"[0.6917, 0.699]",0.0014,--
