,MAE,STD_MAE,RMSE,STD_RMSE,AUC,STD_AUC,CM
0,1.5139,0.0,2.0051,0.0,0.6221,0.0,"[[ 690  380   10   69  910]
 [ 592  473   19   83  890]
 [ 476  368   14  127 1073]
 [ 297  314   17  151 1281]
 [ 193  184    5  145 1532]]"
1,1.5156,0.0,2.008,0.0,0.624,0.0,"[[ 732  326   14   85  903]
 [ 639  433   10  111  866]
 [ 513  335   10  155 1045]
 [ 330  289    4  204 1232]
 [ 212  147    4  203 1491]]"
2,1.5152,0.0,2.0086,0.0,0.6212,0.0,"[[ 772  331   43   14  898]
 [ 639  435   71   23  891]
 [ 554  338   81   42 1045]
 [ 350  279   92   60 1278]
 [ 217  164   75   50 1551]]"
3,1.4932,0.0,1.9855,0.0,0.619,0.0,"[[ 747  371   32   20  887]
 [ 606  470   74   23  886]
 [ 456  439   88   41 1036]
 [ 305  343   98   57 1255]
 [ 181  196   86   40 1556]]"
4,1.5097,0.0,1.9988,0.0,0.6234,0.0,"[[ 715  366   11   67  900]
 [ 650  422   15   79  893]
 [ 453  386   15  127 1076]
 [ 289  331    9  127 1301]
 [ 193  176    8  122 1562]]"
5,1.5095,0.0094,2.0012,0.0096,0.6219,0.002,--
6,"[1.5007, 1.5184]",0.0034,"[1.9922, 2.0102]",0.0035,"[0.6201, 0.6238]",0.0007,--
