,MAE,STD_MAE,RMSE,STD_RMSE,AUC,STD_AUC,CM
0,0.9657,0.0,1.3929,0.0,0.7324,0.0,"[[ 941  523  274  155  166]
 [ 585  659  388  271  154]
 [ 363  427  541  438  289]
 [ 172  272  394  655  567]
 [ 107   94  183  497 1178]]"
1,0.9617,0.0,1.3832,0.0,0.7309,0.0,"[[ 973  482  289  175  141]
 [ 601  615  383  280  180]
 [ 341  436  519  485  277]
 [ 160  249  395  669  586]
 [  98   97  191  485 1186]]"
2,0.9562,0.0,1.3795,0.0,0.7365,0.0,"[[ 917  533  278  164  166]
 [ 584  645  437  242  151]
 [ 363  442  528  458  269]
 [ 157  244  407  649  602]
 [  88  115  192  426 1236]]"
3,0.9564,0.0,1.3807,0.0,0.7393,0.0,"[[ 968  487  288  160  154]
 [ 627  627  412  263  130]
 [ 381  432  560  423  264]
 [ 153  246  384  684  591]
 [ 102  125  207  462 1163]]"
4,0.9681,0.0,1.3997,0.0,0.7358,0.0,"[[ 947  510  255  175  172]
 [ 572  610  403  289  185]
 [ 349  435  534  469  270]
 [ 164  210  372  654  657]
 [ 105  104  181  447 1224]]"
5,0.9616,0.0054,1.3872,0.0088,0.735,0.0034,--
6,"[0.9566, 0.9667]",0.002,"[1.379, 1.3954]",0.0032,"[0.7318, 0.7381]",0.0012,--
