,MAE,STD_MAE,RMSE,STD_RMSE,AUC,STD_AUC,CM
0,0.9617,0.0,1.3852,0.0,0.7339,0.0,"[[ 935  526  266  172  160]
 [ 613  633  396  261  154]
 [ 350  431  525  456  296]
 [ 165  251  411  640  593]
 [ 106   87  172  483 1211]]"
1,0.9529,0.0,1.3769,0.0,0.7355,0.0,"[[ 972  526  247  166  149]
 [ 590  651  374  248  196]
 [ 340  430  514  480  294]
 [ 156  240  381  654  628]
 [  93   96  190  471 1207]]"
2,0.9565,0.0,1.3796,0.0,0.7409,0.0,"[[ 904  556  277  152  169]
 [ 588  644  421  253  153]
 [ 340  449  538  441  292]
 [ 164  247  373  635  640]
 [  89  111  176  435 1246]]"
3,0.9599,0.0,1.387,0.0,0.7395,0.0,"[[ 951  505  277  160  164]
 [ 612  652  376  264  155]
 [ 393  430  543  421  273]
 [ 146  256  376  667  613]
 [ 100  111  198  453 1197]]"
4,0.9564,0.0,1.3861,0.0,0.7449,0.0,"[[ 911  538  281  147  182]
 [ 588  628  379  268  196]
 [ 342  414  539  460  302]
 [ 139  206  359  660  693]
 [  95   97  168  434 1267]]"
5,0.9575,0.0034,1.383,0.0045,0.7389,0.0044,--
6,"[0.9543, 0.9607]",0.0012,"[1.3788, 1.3871]",0.0016,"[0.7348, 0.7431]",0.0016,--
