,MAE,STD_MAE,RMSE,STD_RMSE,AUC,STD_AUC,CM
0,1.3125,0.0,1.7564,0.0,0.6218,0.0,"[[ 590  479  378  235  377]
 [ 480  541  412  280  344]
 [ 423  475  448  317  395]
 [ 322  405  381  352  600]
 [ 224  224  260  305 1046]]"
1,1.3162,0.0,1.7639,0.0,0.6251,0.0,"[[ 625  470  355  254  356]
 [ 497  520  421  263  358]
 [ 453  435  451  329  390]
 [ 341  348  365  324  681]
 [ 257  208  268  261 1063]]"
2,1.3012,0.0,1.7385,0.0,0.6281,0.0,"[[ 562  512  378  260  346]
 [ 456  543  429  302  329]
 [ 401  498  445  299  417]
 [ 294  376  378  359  652]
 [ 220  224  268  300 1045]]"
3,1.331,0.0,1.7742,0.0,0.6224,0.0,"[[ 589  452  435  227  354]
 [ 509  533  426  251  340]
 [ 458  447  453  278  424]
 [ 323  378  388  343  626]
 [ 261  267  243  265 1023]]"
4,1.319,0.0,1.7616,0.0,0.6242,0.0,"[[ 605  483  369  251  351]
 [ 496  515  398  266  384]
 [ 418  462  445  279  453]
 [ 329  355  372  325  676]
 [ 234  219  263  273 1072]]"
5,1.316,0.0108,1.7589,0.0131,0.6243,0.0025,--
6,"[1.3059, 1.3261]",0.0039,"[1.7466, 1.7712]",0.0048,"[0.622, 0.6267]",0.0009,--
